Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake
A690851,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Irish Setter/Pit Bull,Black/White,Intact Female,positive,45,45
A740256,Wickersham & Cromwell in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Intact Female,positive,22,21
A807216,Oak Springs Drive And Airport Boulevard in Austin (TX),Stray,Injured,Cat,Spayed Female,Domestic Shorthair,Black/White,Spayed Female,positive,99,61
A754917,Outside Jurisdiction,Owner Surrender,Normal,Other,Neutered Male,Rabbit Sh Mix,Black,Neutered Male,positive,231,194
A681642,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Chihuahua Shorthair Mix,Chocolate/White,Spayed Female,positive,806,805
A718657,Lamplight Village Ave And Scofield Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,White/Chocolate,Neutered Male,positive,398,365
A733101,13201 N Fm 620 in Austin (TX),Public Assist,Normal,Dog,Intact Male,Pit Bull Mix,Black/White,Neutered Male,positive,828,731
A746400,1101 S 1St in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Medium Hair Mix,Black/White,Neutered Male,positive,58,34
A805933,Webberville Road in Austin (TX),Stray,Nursing,Dog,Intact Male,Border Collie Mix,White/Chocolate,Neutered Male,positive,58,22
A743664,W.T Gallaway in Austin (TX),Stray,Injured,Dog,Intact Female,Dachshund,Black/Brown,Intact Female,positive,195,184
A686701,124 West Anderson Ln in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,White/Black,Intact Female,positive,154,153
A660928,Austin (TX),Public Assist,Normal,Dog,Spayed Female,Labrador Retriever Mix,Black/White,Spayed Female,positive,249,243
A735039,7206 Eganhill in Austin (TX),Stray,Normal,Dog,Intact Female,Anatol Shepherd Mix,Sable/White,Spayed Female,positive,66,62
A715816,2010 East Stassney Lane in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Chocolate/Tan,Spayed Female,positive,370,365
A695371,U.S. 290 & Abrahamson Rd in Travis (TX),Stray,Normal,Dog,Intact Female,Catahoula Mix,Yellow Brindle,Spayed Female,positive,370,365
A687295,400 Grove Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,Labrador Retriever/German Shepherd,Black,Intact Male,negative,1107,1096
A738543,1500 E 6Th St in Austin (TX),Stray,Sick,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,Intact Male,negative,116,107
A703983,5704 Apple Orchard Ln in Austin (TX),Stray,Normal,Dog,Spayed Female,Carolina Dog Mix,Tan/White,Spayed Female,positive,544,487
A754922,Bilbrook Place And Sugarberry Lane in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Medium Hair Mix,Brown Tabby,Neutered Male,positive,80,61
A733280,Canterbury Trls And Manchaca Rd in Austin (TX),Stray,Normal,Dog,Intact Female,Jack Russell Terrier Mix,White/Brown,Intact Female,positive,738,731
